"nama","link"
"Bapak Andi Saputra","https://domain-undangan-kamu.com/?to=Bapak+Andi+Saputra"
"Ibu Sari Wulandari","https://domain-undangan-kamu.com/?to=Ibu+Sari+Wulandari"
"Bapak Rudi Hartono","https://domain-undangan-kamu.com/?to=Bapak+Rudi+Hartono"
"Ibu Dewi Lestari","https://domain-undangan-kamu.com/?to=Ibu+Dewi+Lestari"
"Mas Fajar Pratama","https://domain-undangan-kamu.com/?to=Mas+Fajar+Pratama"
"Mbak Nisa Amelia","https://domain-undangan-kamu.com/?to=Mbak+Nisa+Amelia"
"Bapak Hendra Wijaya","https://domain-undangan-kamu.com/?to=Bapak+Hendra+Wijaya"
"Ibu Lina Marlina","https://domain-undangan-kamu.com/?to=Ibu+Lina+Marlina"
"Keluarga Bapak Arman","https://domain-undangan-kamu.com/?to=Keluarga+Bapak+Arman"
"Keluarga Ibu Fitri","https://domain-undangan-kamu.com/?to=Keluarga+Ibu+Fitri"
